Tema,Tarefas
Geometria Fractal,Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Encontra e analisa um caso real que envolva {tema}.
Economia Sustentável,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Desenha um infográfico para explicar {tema} de forma visual.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Evolução das Espécies,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Fotossíntese,Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um discurso político que mencione a importância de {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.
Cálculo Diferencial,Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Desenha um infográfico para explicar {tema} de forma visual.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Pesquisa e resume um artigo científico sobre {tema}.
Grandes Descobrimentos,Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Direitos Humanos,Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
História da Computação,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenha um infográfico para explicar {tema} de forma visual.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.
História da Medicina,Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.
Ecossistemas Marinhos,Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um enigma ou puzzle matemático baseado em {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Arte Renascentista,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.
Bioética,Escreve um código de programação simples que ilustre um conceito de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Evolução das Espécies,Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um poema ou música sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
Ecossistemas Marinhos,Escreve um discurso político que mencione a importância de {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um poema ou música sobre {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
Teoria da Relatividade,Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Encontra e analisa um caso real que envolva {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Impacto das Redes Sociais,"Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Escreve um discurso político que mencione a importância de {tema}."
O Ciclo da Água,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.
História da Medicina,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Escreve um discurso político que mencione a importância de {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Grandes Descobrimentos,Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Escreve um discurso político que mencione a importância de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
Geopolítica e Conflitos Mundiais,Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
Robótica e Automação,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.
Fotossíntese,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Arquitetura Gótica,Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um poema ou música sobre {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Encontra e analisa um caso real que envolva {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.
Evolução das Espécies,Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um website simples que explique {tema} para iniciantes.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
O Ciclo da Água,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Elabora um workshop educativo prático sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Bioética,Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Pesquisa e resume um artigo científico sobre {tema}.
Teorema de Euler,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
